error.field.email_not_valid;Inserire un indirizzo e-mail valido
error.field.vat_not_valid;Si prega di inserire una P. IVA valida
error.field.fiscal_code_not_valid;Si prega di inserire un codice fiscale valido
error.field.checkbox_not_set;Si prega di verificare la casella '{{fieldname}}'
label.banktransfer_order_complete_text;"Ti preghiamo di trasferire il totale di {{total}} al conto corrente sottostante avente causale: ""Ordine {{order_id}}"".  Appena la somma sarà trasferita, l'ordine sarà gestito.

Bankname
IBAN: ITXX XXX XXXX XXXX XXXX XXXX XXX
SWIFT-BIC: XXXXXXXX"
error.field.no_option_selected;Prego selezionare un'opzione - '{{fieldname}}'
label.shipping_document;Lieferschein
label.insert_coupon;Entra codice promozionale
error.password_policy;La password deve contenere almeno 8 caratteri di cui almeno 1 lettera e 1 numero
label.date;Data
label.add_to_cart_success;L'articolo è stato aggiunto al tuo carrello con successo
label.payment_cancelled;Il processo di pagamento è stato interrotto
label.details;Dettagli
label.order_complete_default_shipping_text;La merce le sarà spedita il prima possibile
error.email_already_exists;Questo indirizzo e-mail è già stato registrato ad un altro utente
error.coupon_not_exists;Il codice di questo buono acquisto non esiste
error.coupon_not_valid_anymore;Il codice di questo buono acquisto non è più valido
error.coupon_already_used;Hai già usato questo coupon
label.email__user_registration_subject;Ti sei registrato con successo
label.email__user_password_reset;Reset della password
label.email;E-mail
label.units;Einheiten
label.single_price;Prezzo unitario
error.shipping_zipcode_not_valid;Il codice postale non è valido
label.single_price_no_vat;Prezzo unitario (IVA escl.)
error.order_has_no_product;Non ci sono articoli nel carrello
error.shipping_no_price;Non ci sono prezzi di spedizione per l'ordine attuale. Ti pregiamo di contattarci direttamente.
label.omest_orderslist_sent_subject;Es wurden {COUNT} Bestellungen an OMEST gesendet
label.omest_shipping_ex;Corriere Espresso
simpleshop.omest_shipping;Spedizione express
shop.order_status_FA;fallito
label.company;Dita
label.company_name;Ragione sociale
label.total;Totale
label.total_sum;Totale
label.coupon;Buono acquisto
label.redeem_coupon;Riscatta buono sconto
error.coupon_not_yet_valid;Il codice di questo buono acquisto non è ancora attivo
error.coupon_consumed;Il codice di questo buono acquisto è già stato usato
label.credit_note;Nota da credito
label.email__registration_text;Congratulazioni! Ti sei registrato con successo da ###company.name###. Quindi puoi accedere con le seguenti credenziali:
action.accept_tos;Accetto le {{tos-link}}CGV{{tos-link}}.
label.cancellation_terms;Accetto le {{cancellation-terms-link}}condizioni di recesso{{cancellation-terms-link}}.
label.email__password_reset_text;La tua password è stata ripristinata. Puoi quindi accedere con le seguenti credenziali.
simpleshop.your_order_num;Il suo ordine
label.email__creditnote_text;Allegato trovi la nota da credito
shop.order_status_IP;in preparazione
shop.coupon_status_inactive;Non attivo
shop.coupon_status_usable;può essere assegnato
shop.coupon_status_givenaway;suscitato
shop.coupon_status_autogenerated;suscitato (autogenerato)
action.add_to_cart;Aggiungi al carrello
action.place_order;Acquista ora
action.register;Registrati Qui
label.no_products_in_cart;Non ci sono articoli nel carrello
label.code;Codice
label.product_code;Codice prodotto
label.account_data;Informazioni account
label.nexi_credit_card ;Carta di credito
label.country;Paese
label.omest_orderslist_sent;"Gentile cliente,

I seguenti ordini sono stati inviati a OMEST e saranno spediti alla prossima occasione:

{ORDERS}"
label.shipment_payment;Consegna e pagamento
label.amount;Quantità
label.tax;IVA
label.tax_included;IVA incl.
label.vat_short;Part. IVA
label.lastname;Cognome
label.name;Nome
label.location;Città
label.password;Password
label.new_password;Nuova password
label.repeat_email;Ripeti l'email
label.repeat_password;Ripeti la password
error.email_not_identical_to_repeat;L'e-mail e la ripetizione devono essere identiche
error.new_password_not_identical_to_repeat;La password e la ripetizione devono essere identiche
label.password_forgotten;Password dimenticata?
label.paypal_express;Paypal
label.postal;CAP
label.position_short;Pos.
label.price;Prezzo
label.private_person;Privato
label.product;Prodotto
label.product_not_available;Articolo non disponibile
label.promotions;Promozioni
label.min_order_info;Il valore totale di un ordine deve essere almeno {VALUE}
error.min_order_value;Il valore minimo d'ordine di {VALUE} non è stato raggiunto
label.discount;Sconto
error.discountgroup_not_applyable_anymore;L'offerta promozionale a prezzi ridotti è cambiata
label.invoice;Fattura
label.invoice_address;Indirizzo di fatturazione
label.pwd_recovery_info_text;Inserisci il tuo indirizzo e-mail e ti invieremo una nuova password.
label.invoice_num;Fattura n°
label.registration_info_text;Registra il tuo account.
label.edit_address;Modifica indirizzo
label.new_address;Nuovo indirizzo
simpleshop.shipping_pickup_point;Ritiro in azienda
label.shipping_number;Numero della spedizione
label.login_info_text;Hai già un account? Accedi qui.
label.registration_sucessfull;La registrazione è avvenuta con successo. Puoi continuare/iniziare con i tuoi acquisti
label.applied_promotion_text;Queste sono le tue offerte personali:
error.tos_rma_not_accepted;Devi accettare le condizioni di vendita e di recesso
label.order_complete_pickup_text;Ti contatteremo appena la merce sarà pronta per il ritiro.
label.are_required_fields;sono campi obbligatori
action.save;salvare
label.omest_shipping_ec;Standard / Economy
label.shipping_default;Spedizione Standard
label.status;Stato
label.gross_total;Base imponibile
label.fiscal_code;Codice fiscale
label.street;Via
label.overview;Übersicht
label.keep_password_notice;Se desideri continuare con la password attuale, non compilare il campo
label.shipping_address;Indirizzo di spedizione
label.shipping_method;Metodo di spedizione
label.shipping_country;Paese di spedizione
label.shipping_costs;Costi di spedizione
shop.order_status_SH;spedito
label.email__order_complete_text;Grazie, abbiamo ricevuto il suo ordine.
error.cart_product_not_enough_amount;"Sono rimasti solo {{count}} pezzi di ""{{replace}}"" e ne abbiamo ridotto il numero nel carrello."
label.firstname;Nome
shop.order_status_OP;in attesa di pagamento
action.go_ahead;Avanti
label.continue_shopping;Continua acquistare
label.load_more;carica di più
action.continue_shopping;Continua acquistare
notif.password_reset_msg;Se hai un account attivo presto riceverai un e-mail con la tua nuova password
label.payment_method;Metodo di pagamento
action.proceed_to_checkout;Procedi alla cassa
action.go_back;Torna
action.back_to_login;Torna al login
action.add_product_price_to_get_promotion;Aggiungere merce del valore di {{PRICE}} per assicurare la promozione "{{NAME}}"
action.add_product_amount_to_get_promotion;Aggiungete altri {{AMOUNT}} prodotti per garantire la promozione "{{NAME}}"
action.back_to_overview;ritorna all'elenco
action.reset;Ripristina
label.subtotal;Subtotale
error.wsconnector_exception;Connector error
